algorithm,inputType,n,timeMs,maxDepth,comparisons,swaps,calls,allocations
ArraysSort,RANDOM,200000,10.8625,0,0,0,0,0
MergeSort,RANDOM,200000,17.0835,15,3494960,4924215,32767,1
QuickSort,RANDOM,200000,21.3364,12,6934427,3314030,133539,0
DeterministicSelect,RANDOM,200000,6.6815,16,1959023,1867660,2187,0
ClosestPair,RANDOM,200000,116.2892,18,3293246,6427136,137855,3
ArraysSort,SORTED,200000,0.0431,0,0,0,0,0
MergeSort,SORTED,200000,0.4608,15,199999,183616,32767,1
QuickSort,SORTED,200000,13.3786,12,6808955,2364382,133201,0
DeterministicSelect,SORTED,200000,4.0576,17,1765353,1574396,2622,0
ClosestPair,SORTED,200000,55.7817,18,3293246,6427136,137855,3
ArraysSort,REVERSE_SORTED,200000,0.1502,0,0,0,0,0
MergeSort,REVERSE_SORTED,200000,4.4572,15,2542849,5501229,32767,1
QuickSort,REVERSE_SORTED,200000,13.4827,13,6630461,2398105,133172,0
DeterministicSelect,REVERSE_SORTED,200000,4.1429,16,1931948,1963679,2049,0
ClosestPair,REVERSE_SORTED,200000,56.0659,18,3293246,6427136,137855,3
ArraysSort,DUPLICATE_HEAVY,200000,4.3860,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,200000,11.0504,15,3481586,4907123,32767,1
QuickSort,DUPLICATE_HEAVY,200000,6.3058,5,2453602,1407333,101,0
DeterministicSelect,DUPLICATE_HEAVY,200000,2.6209,9,759388,719025,10,0
ClosestPair,DUPLICATE_HEAVY,200000,106.2177,18,2885899,6427136,137855,3
ArraysSort,RANDOM,500000,29.9669,0,0,0,0,0
MergeSort,RANDOM,500000,45.6883,16,9645622,13461214,65535,1
QuickSort,RANDOM,500000,56.8707,14,18068421,8556090,333423,0
DeterministicSelect,RANDOM,500000,17.3838,19,5198975,4959246,4557,0
ClosestPair,RANDOM,500000,438.5150,19,8845134,17854272,475711,3
ArraysSort,SORTED,500000,0.1087,0,0,0,0,0
MergeSort,SORTED,500000,1.2300,16,499999,467232,65535,1
QuickSort,SORTED,500000,35.5265,13,18227783,6394443,333385,0
DeterministicSelect,SORTED,500000,9.4715,18,4428958,3951332,4578,0
ClosestPair,SORTED,500000,230.4802,19,8845134,17854272,475711,3
ArraysSort,REVERSE_SORTED,500000,0.3699,0,0,0,0,0
MergeSort,REVERSE_SORTED,500000,13.2817,16,7359542,15276025,65535,1
QuickSort,REVERSE_SORTED,500000,35.6936,13,18669168,6943752,333114,0
DeterministicSelect,REVERSE_SORTED,500000,10.4154,17,4846149,4926269,3616,0
ClosestPair,REVERSE_SORTED,500000,237.0335,19,8845134,17854272,475711,3
ArraysSort,DUPLICATE_HEAVY,500000,9.9804,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,500000,28.7380,16,9603946,13410682,65535,1
QuickSort,DUPLICATE_HEAVY,500000,15.3462,5,5611819,3229274,101,0
DeterministicSelect,DUPLICATE_HEAVY,500000,6.7726,11,1977391,1861013,54,0
ClosestPair,DUPLICATE_HEAVY,500000,396.1278,19,7452765,17854272,475711,3
ArraysSort,RANDOM,1000000,62.0089,0,0,0,0,0
MergeSort,RANDOM,1000000,97.4519,17,20286405,28417087,131071,1
QuickSort,RANDOM,1000000,119.4354,15,37929875,18518898,666521,0
DeterministicSelect,RANDOM,1000000,33.7546,18,10181198,9773627,6725,0
ClosestPair,RANDOM,1000000,1009.1850,20,18689972,37708544,951423,3
ArraysSort,SORTED,1000000,0.2746,0,0,0,0,0
MergeSort,SORTED,1000000,2.5328,17,999999,934464,131071,1
QuickSort,SORTED,1000000,72.9291,14,37831584,12994371,666700,0
DeterministicSelect,SORTED,1000000,19.2676,19,8906247,7951883,7232,0
ClosestPair,SORTED,1000000,528.6662,20,18689972,37708544,951423,3
ArraysSort,REVERSE_SORTED,1000000,0.7666,0,0,0,0,0
MergeSort,REVERSE_SORTED,1000000,25.1640,17,15219088,32051814,131071,1
QuickSort,REVERSE_SORTED,1000000,74.1788,14,37605804,12894918,666867,0
DeterministicSelect,REVERSE_SORTED,1000000,19.9921,18,9687110,9862147,5515,0
ClosestPair,REVERSE_SORTED,1000000,553.0875,20,18689972,37708544,951423,3
ArraysSort,DUPLICATE_HEAVY,1000000,19.9716,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,1000000,58.8179,17,20208199,28321852,131071,1
QuickSort,DUPLICATE_HEAVY,1000000,31.7864,5,12412971,7012154,101,0
DeterministicSelect,DUPLICATE_HEAVY,1000000,26.0736,12,7543537,6963861,154,0
ClosestPair,DUPLICATE_HEAVY,1000000,956.5602,20,15404422,37708544,951423,3
